SUCESSO: 23:50:04.153150 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.156309 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.157754 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.159825 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.161090 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.161765 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.163058 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.163445 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.164043 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.168508 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.169310 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.169797 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.170906 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.175691 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.178511 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.199827 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.222396 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.225475 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.225963 | Usuario: alice | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.226387 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.226903 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.228629 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.229227 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.234678 | Usuario: heitor | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.248499 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.252319 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.254677 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.255400 | Usuario: manuela | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.256892 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.258491 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.259003 | Usuario: laura | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.260060 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.260531 | Usuario: davi | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.262377 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.263 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.263349 | Usuario: theo | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.264258 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.264933 | Usuario: manuela | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.265378 | Usuario: sophia | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.266703 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.267530 | Usuario: arthur | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 1
SUCESSO: 23:50:04.268789 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.269658 | Usuario: helena | Operacao: CONSULTAR LIVRARIA | Parametros operacao: id_livraria = 2
SUCESSO: 23:50:04.271921 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.274846 | Usuario: helena | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.275716 | Usuario: arthur | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.276305 | Usuario: manuela | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.277603 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
SUCESSO: 23:50:04.278719 | Usuario: miguel | Operacao: LOGIN | Parametros operacao: SENHA CORRETA
